tour,event,to_par_gross,pos_gross,money_gross,round1,round2,round3,round4,points_gross,tour_handicap,to_par_net,money_net,pos_net,points_net,row_id
triplebogeysrbetter 21st,Pheasant Acres GC LIDAR,11,T13,,82,0,0,0,0,-1.2,12,,T19,0,17
ProTee United,TGC Invitational,4,T18,"$75,829",70,78,0,0,49,-1.2,6,"$75,829",T20,45,16
WizardofCoz Noonan Club,JD/Mthunt Canadian Invite,2,T22,"$42,735",73,0,0,0,41,-1.2,3,"$42,918",T23,39,15
ProTee Exhibition,The Kendleshire GC Lidar,-4,T5,,67,0,0,0,0,-1.2,-3,,T2,0,14
ProTee Exhibition,Nueva Vista Golf Club,-5,T9,,67,0,0,0,0,-1.2,-4,,T13,0,13
gCool Tour,Red Rocks Golf Club,-4,3,,66,0,0,0,0,-0.5,-4,,1,0,12
ProTee United,Ireland Invitational,-5,T15,"$69,565",69,70,0,0,55,-0.5,-4,"$240,343",T9,80,11
ProTee United,Scotish Open,5,T48,,72,77,0,0,10,-1.6,8,,T70,3,10
ProTee United,Weston G&CC by mthunt,2,T28,"$73,171",72,76,70,0,35,-2.7,10,,T45,12,9
WizardofCoz Noonan Club,MHunter/Netchek Le Golf,4,T42,,75,0,0,0,14,-2.7,7,,T64,4,8
ProTee Exhibition,North Ranch Lakes,3,T29,,39,0,0,0,0,-2.7,6,,T43,0,7
ProTee United,Wells Fargo Championship,4,T36,,70,76,0,0,20,-6.2,16,,T119,0,6
True Sim Society,"West Coast GC, Norway",7,T12,,79,0,0,0,0,-6.2,13,,17,0,5
ProTee United,Zurich Classic of New Orl,22,T151,,86,78,0,0,0,-6.7,35,,T213,0,4
WizardofCoz Noonan Club,EG$ Champioship,11,T60,,83,0,0,0,5,-6.7,18,,106,0,3
ProTee United,RBC Heritage,29,T103,,88,83,0,0,0,0.0,29,,T139,0,2
WizardofCoz Noonan Club,Royal County Down TMT,-3,T28,"$16,667",68,0,0,0,31,0.0,-3,"$39,841",T22,41,1
