ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
VIR,,2019-10-11,20.00,40.62,Vir Biotechnology,103.10%
VIRI,,2020-12-17,10.00,7.78,Virios Therapeutics,-22.19%
VIST,,2019-07-26,9.00,2.70,Vista Oil & Gas,-70.00%
VITL,,2020-07-31,22.00,26.31,Vital Farms,19.59%
VMAC,,2020-08-07,10.00,10.21,Vistas Media Acquisition,2.05%
VMAR,,2020-11-24,10.00,15.59,Vision Marine Technologies,55.85%
VOSOU,VOSO,2021-01-22,10.00,10.31,Virtuoso Acquisition,3.05%
VRM,,2020-06-09,22.00,36.67,Vroom,66.68%
VSPR,,2020-09-30,10.00,11.20,Vesper Healthcare Acquisition,12.00%
VSTA,,2020-07-31,19.00,13.75,Vasta Platform,-27.63%
VTAQ,,2020-12-24,10.00,10.58,Ventoux CCM Acquisition,5.80%
VTIQ,,2021-01-07,10.00,11.61,VectoIQ Acquisition II,16.05%
VTRU,,2020-09-18,16.00,15.04,Vitru,-6.03%
VVOS,,2020-12-11,6.00,6.70,Vivos Therapeutics,11.67%
VYGG,,2020-10-02,10.00,11.24,Vy Global Growth,12.40%
WAFU,,2019-04-30,5.00,4.63,Wah Fu Education Group,-7.40%
WIMI,,2020-04-01,5.50,8.59,WiMi Hologram Cloud,56.18%
WISH,,2020-12-16,24.00,24.74,ContextLogic,3.08%
WMG,,2020-06-03,25.00,38.73,Warner Music Group,54.92%
WNW,,2020-12-15,5.00,21.95,Wunong Net Technology,339.00%
WOOF,,2021-01-14,18.00,26.06,Petco,44.78%
WORK,,2019-06-20,26.00,42.73,Slack Technologies,64.35%
WPF,,2020-05-27,10.00,12.58,Foley Trasimene Acquisition,25.80%
WSG,,2019-07-26,8.00,2.50,Wanda Sports Group,-68.81%
WTRE,,2019-03-28,25.26,34.70,Watford Holdings,37.35%
XGN,,2019-09-19,14.00,16.03,Exagen,14.50%
XP,,2019-12-11,27.00,42.19,XP Inc.,56.26%
XPEV,,2020-08-27,15.00,56.26,XPeng,275.03%
XPOA,,2020-10-21,10.00,10.77,DPCM Capital,7.70%
YAC,,2020-08-04,10.00,10.54,Yucaipa Acquisition,5.35%
YALA,,2020-09-30,7.50,18.55,Yalla Group,147.33%
YAYO,,2019-11-13,4.00,2.09,Rideshare Rental,-47.75%
YGMZ,,2020-10-21,4.00,17.50,MingZhu Logistics,337.50%
YJ,,2019-05-03,11.00,2.55,Yunji,-76.82%
YQ,,2020-12-04,10.50,16.98,17 Education & Technology,61.71%
YSAC,,2020-10-22,10.00,10.23,Yellowstone Acquisition,2.30%
YSG,,2020-11-19,10.50,19.38,Yatsen Holding,84.52%
ZCMD,,2020-02-24,4.00,1.97,Zhongchao,-50.73%
ZGYH,,2020-02-13,10.00,10.14,Yunhong International,1.40%
ZI,,2020-06-04,21.00,46.29,ZoomInfo Technologies,120.43%
ZM,,2019-04-18,36.00,383.33,Zoom Video Communications,964.81%
ZNTE,,2020-11-17,10.00,13.06,Zanite Acquisition,30.55%
ZNTL,,2020-04-03,18.00,43.25,Zentalis Pharmaceuticals,140.28%
