ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
PCPC,,2020-12-10,25.00,25.90,Periphas Capital Partnering,3.60%
PCPL,,2020-04-24,10.00,11.03,CC Neuberger Principal Holdings I,10.25%
PCVX,,2020-06-12,16.00,25.04,Vaxcyte,56.50%
PD,,2019-04-11,24.00,48.89,PagerDuty,103.71%
PDAC,,2020-09-24,10.00,12.44,Peridot Acquisition,24.40%
PFHD,,2020-02-07,18.50,16.54,Professional Holding,-10.62%
PGNY,,2019-10-25,13.00,50.21,Progyny,286.23%
PHAT,,2019-10-25,19.00,39.69,Phathom Pharmaceuticals,108.89%
PHIC,,2020-11-18,10.00,10.50,Population Health Investment,5.00%
PHR,,2019-07-18,17.00,69.45,Phreesia,308.53%
PIAI,,2020-09-10,10.00,10.51,Prime Impact Acquisition I,5.05%
PIC,,2019-07-12,10.00,19.54,Pivotal Investment II,95.40%
PINE,,2019-11-22,19.00,16.08,Alpine Income Property Trust,-15.37%
PING,,2019-09-19,15.00,32.30,Ping Identity,115.30%
PINS,,2019-04-18,19.00,73.23,Pinterest,285.42%
PIPP,,2020-11-17,10.00,12.87,Pine Island Acquisition,28.70%
PLIN,,2019-08-14,5.00,1.05,China Xiangtai Food,-79.10%
PLMR,,2019-04-17,15.00,99.75,Palomar Holdings,564.97%
PLRX,,2020-06-03,16.00,26.43,Pliant Therapeutics,65.16%
PLTK,,2021-01-15,27.00,30.25,Playtika,12.04%
PLTR,,2020-09-30,7.25,32.56,Palantir,349.10%
PMVC,,2020-09-22,10.00,10.34,PMV Consumer Acquisition,3.40%
PMVP,,2020-09-25,18.00,44.96,PMV Pharmaceuticals,149.78%
PNTM,PNTM,2021-01-13,10.00,10.46,Pontem,4.55%
POSH,,2021-01-14,42.00,73.68,Poshmark,75.42%
POW,,2021-01-08,10.00,10.68,Powered Brands,6.80%
PPD,,2020-02-06,27.00,35.04,"PPD, Inc.",29.78%
PPGH,,2021-01-06,10.00,10.60,Poema Global,6.00%
PRAX,,2020-10-16,19.00,56.31,Praxis Precision Medicines,196.34%
PRFX,,2020-09-01,8.00,4.47,PainReform,-44.13%
PRLD,,2020-09-25,19.00,74.07,Prelude Therapeutics,289.84%
PROG,,2020-06-19,15.00,6.24,Progenity,-58.40%
PROS,,2019-07-25,14.00,12.63,ProSight Global,-9.79%
PRPB,,2020-07-31,10.00,10.66,CC Neuberger Principal Holdings II,6.55%
PRSR,,2021-01-08,10.00,11.39,Prospector Capital,13.90%
PRVL,,2019-06-20,17.00,23.00,Prevail Therapeutics,35.29%
PSAC,,2020-07-22,10.00,11.06,Property Solutions Acquisition,10.55%
PSN,,2019-05-08,27.00,38.51,Parsons,42.61%
PSNL,,2019-06-20,17.00,48.14,Personalis,183.18%
